source,target,msg
#alexby11,tefon12,Tsunami en Andorra
#mangel,iamstromile,Te vas a Andorra y reapareces en un hospital español. La hipocresía
#elxokas,makegamerlol,@elxokas viste el vídeo de ibai opinando del tema andorra? puso pila veces el clip tuyo de levantando carreteras vaya despolle xDDDD
#alexby11,rafahr22,terremoto en andorra xd
#mangel,iamstromile,Has reaparecido en un hospital español después de irte a Andorra xd
#wallstreetwolverine,mrubier,Victor oí hace no mucho que en Andorra hay deficit de programadore, sabes algo o alguna manera que pudiera informarme?
#alexby11,isi___77,me voy a andorra gente en chile toi muy acostumbarda que tiemble
#wallstreetwolverine,seredentactics,estáis un poco obsesionados con Andorra no? no tiene sentido ir si no ganas mucho...
#thegrefg,marianobp10,no entiendo vomo pone esto si no se siente español... que ponga el himno del andorra
#alexby11,tefon12,tsunami en Andorra 😱
#alexby11,sneidersenior,tsunami en Andorra 😱
#alexby11,edwardsq12,Temblor en Andorra
#staryuuki,zethblade,Es raro, porque rubius dijo que nunca se iría a Andorra LUL LUL LUL LUL
#staryuuki,aioria57,Uff que pesados con lo de Andorra 😤😤
#jelty,toony2003,jelty x stark x andorra
#jelty,san0banan0,Jelty, para ir a andorra solo necesitas el pasaporte
#igestark,fnzomber,#todospaandorra
#staryuuki,ryzeybx,ANDORRA
#staryuuki,ryzeybx,ANDORRAAA XDDDD
#staryuuki,sazq18_cat,Andorra se esta volviendo cada vez mas conocida, le acuerdo cuando estuve por allá es un país bello en las montañas
#staryuuki,v1ct0r_sy,Rubius se va a Andorra o se fue de ahí?
#igestark,jty_2020,@calzot La diferencia es que la familia de Stark sí está en Andorra, xD.
#jelty,diexdgolol,vete pa andorra
#g4g_revenant,deivy42,estos son tus ídolos? llevándose a Andorra? porque el mío si
#elspreen,alex_100002,el gobierno de Andorra cuando elrubius no para los impuestos:
#wallstreetwolverine,khostaxz,Como ingeniero informático me estoy planteando irme a Andorra, que me recomiendas?
#beniju03,jesus_mp_,Beni es de Andorra
#beniju03,polakeitorr,que opinas de andorra????
#elxokas,miguel_crespo01,vamooos a andorra
#wallstreetwolverine,pedroby7,Todo el mundo te dice que si Andorra y tal pero... tú harías daño a una mujer??
#beniju03,another_user_more,casi andorra
#wallstreetwolverine,carsdeport,como ves el tema de coches en Andorra
#saselandiadirectos,klbo21,SASEL SI TE MUDAS A ANDORRA EL AMANTE DE MARY ALLEY SE MUDA TAMBIEN CON USTEDES?
#wallstreetwolverine,thebigiik,comoves la importacion de andorra a españa?
#wallstreetwolverine,llabresinho,hay universidad en andorra?
#wallstreetwolverine,pgarzon4,en andorra hay universidad?
#wallstreetwolverine,khostaxz,Me quiero ir a Andorra como ingeniero informático, que recomiendas? el IRPF en España es una estafa
#wallstreetwolverine,thebigiik,BRO COMO VES LA IMPORTACION DE ANDORRA A ESPAÑA, PONEN MUCHAS PEGAS EN LA ADUANA?
#mangel,iamstromile,Muy bueno el Andorra Simulator
#wallstreetwolverine,martincarrere9720,Hola soy Martin y vengo de USA, en la universidad de FIU,tengo ganas de ir a andorra, en 10 anos , porque quiero terminar la carrera, y me gusta la area de inmobiliaria, como es la area de inmobiliaria en andorra.
#wallstreetwolverine,jairojosepc,Como está Andorra respecto a empresas tecnológicas?
#wallstreetwolverine,mefistofeles__,Victor. ¿cómo es el hecho de que los vampiros de Hacienda van a ir detrás de vosotros los youtubers que os vais a Andorra, y os va a acosar y mirar hasta debajo de las piedras a ver si os pillan y os pueden usar de castigo ejemplar?
#thedanirep,iamstromile,Dani, Andorra??????
#wallstreetwolverine,mefistofeles__,Victor. ¿cómo ves el hecho de que los vampiros de Hacienda van a ir detrás de vosotros los youtubers que os vais a Andorra, y os va a acosar y mirar hasta debajo de las piedras a ver si os pillan y os pueden usar de castigo ejemplar?
#wallstreetwolverine,jairojosepc,tema empresas tecnológicas en Andorra?
#wallstreetwolverine,martincarrere9720,como esta la inversion de inmobiliaria en andorra, es rentable?
#beniju03,kleisus,eres de irun y vives en Andorra?
#mangel,x_rubio_,mangel para Andorra tu también
#beniju03,patribhr,se está extendiendo la broma de que vives en andorra
#beniju03,antoniiiiiiiiiiiiio,Andorra chiquito
#wallstreetwolverine,deiviiiddd,Si fueras españa que harías para parar esta fuga de youtubers a Andorra
#silithur,fercumv,Andorra conquisto las islas malvinas :(
#beniju03,danieeeeeel13,Benito se va a andorra para pagar menos impuestos, lamentable
#silithur,samplox1,quienes son los de Andorra?
#wallstreetwolverine,darkunicornland,Has visto el Diari d'Andorra?
#silithur,javiier751,Andorra están en la isla y alado del tanque
#wallstreetwolverine,daviidmartin00,No se te hace pequeña Andorra?
#beniju03,lebartuh,en Andorra se evaden impuestos >P)
#beniju03,dani_blaster5,tienes cara de andorrano, eso es que te irá bien
#beniju03,joniirosales,yo me iría a andorra porq lo que vi se ve muy bonito
#beniju03,rexboom00,no.ientas beni sabemos q vives en andorra
#silithur,ikifuenla1903,a los Andorranos farfa y rich les van a enseñar a pagar IRPF en las Malvinas pa
#srserpiente,tutangapitan,al final andorra se quedo con la isla? :(
#beniju03,juanconplata,que hay en andorra? no entiendo x que dicen tanto
#beniju03,nelli_33,#MomentoAndorra
#beniju03,alexrr_01,Piensas algún día irte a Andorra?
#beniju03,jesus_mp_,yo creo que ya tenías tiempo haciendo ese papeleo de niño Andorra 😾
#beniju03,samuelmen017,pronto a andorra
#beniju03,pablono7u7,yo te vi en Andorra no me agas wey
#beniju03,bryanch179,no se va a Andorra este es tu ídolo por que el mío si
#mangel,x_rubio_,mangel vete para Andorra tu también
#wallstreetwolverine,martincarrere9720,quein es mejor estonia o andorra en tema de oportunidades
#iamcristinini,burbuja__cool,Toxicidad fuera, mala vibra fuera, me llamas gordo me voy a Andorra xd
#srserpiente,clemepollos,creo que esos son de andorra
#papigavitv,qdequeso,que se vayan a andorra, jona nos levanta
#srserpiente,tutangapitan,al final andorra es casi dueña de la base?
#wallstreetwolverine,exosttv,como esta el sector tecnológico en Andorra?
#wallstreetwolverine,rockzard29,como llevas el catalán en andorra???
#berri,007hormiga,Andorra la bella
#wallstreetwolverine,jeanpierrerb17,es complicado ser abogado en Andorra habiendo estudiado en España ??
#guanyar,huggo73,lolito top 2 en andorra
#guanyar,huggo73,lolito va a 0 ping en andorra
#alexby11,if_i_only,aquí podemos dejar totalmente en claro que andorra no es lo que creemos
#wallstreetwolverine,killbits1,hay un clip de Ibai insultando a los Andorranos
#guanyar,ps_sheriff,RUBIUS TOP 1 EN REGUION DE ANDORRA
#wallstreetwolverine,sheroi11,Ibai no insult a los andorranos es out of context
#wallstreetwolverine,agusottaviano,cual es la epoca con menos trabajo en andorra
#wallstreetwolverine,pabloalonso333,Por que no te mudaste a eeuu en vez de andorra?
#wallstreetwolverine,juan53753,Podrías hablar sobre el tema de las armas en andorra
#smittyw,notzgh,si se van pa andorra
#smittyw,keeeik,se van a ir a vivir juntos a andorra
#elxokas,miguelrc94,El mapa es andorra ?
#wallstreetwolverine,benderioco,Si quiero ir a Andorra, cómo llevo el dinero, en sacos?
#silithur,itz_tiz1,que pasó con la isla esa del norte y Andorra? @silithur
#wallstreetwolverine,martincarrere9720,estoy en USA me conviene ir a andorra o quedarme aca
#wallstreetwolverine,juan53753,Podrías hablar del tema de las armas en andorra
#mangel,arturorr03,modo andorrano activado
#silithur,itz_tiz1,sili que paso con andorra
#g4g_revenant,liadain19,en Andorra melón xD
#g4g_revenant,enlightedhd,EN ANDORRA COÑO
#zeling,javiier751,ve con destri y serás aliado con Andorra :3
#g4g_revenant,chgaga15,en andorra
#g4g_revenant,enlightedhd,SACOS EN ANDORRA
#g4g_revenant,liadain19,en Andorra mongolin
#g4g_revenant,fedemawe,te ahorras el viaje a andorra Kappa
#g4g_revenant,darklilusion,En la playa, nia tiene una casa ahi, andorra esta mimiendo ahora man...
#g4g_revenant,juancah1,En Andorra no hay impuestos
#g4g_revenant,askondo,en Andorra tienes 2 vidas
#mangel,onlypipe,me encanta que mangel diga referencias de andorra con gta 4
#g4g_revenant,omar30s,en andorra tienes impuestos bajos ;)
#igestark,chamo5,!andorra
#g4g_revenant,aetrial,en andorra tienes muchos amigos g4greveClown
#heikki360es,giorgiio777,Jeidi no se va Andorra y nadie dice nada
#heikki360es,joseba1990,Jeidi no se va a Andorra @giorgiio777
#alexby11,juliaclvrnl993,asi sera en andorra, discutiran y luego cantaran xddd
#alexby11,if_i_only,luego por qué no se va a andorra
#jelty,moralez31,!andorra
#smittyw,thesebmaaster,se está cambiando a andorra
#smittyw,visra1,ESTÁ ESCONDIDO POR LO DE ANDORRA KEKW
#aroyitt,el_asdepicas,ya me imagino los dos en andorra cantando a cada rato
#g4g_revenant,andorraomg,por mar no vais a llegar hasta Andorra eh xDD
#g4g_revenant,hardrox,Como va el viahe a Andorra?
#g4g_revenant,andorraomg,@G4G_REVENANT más bien intentando llegar a Andorra xD
#staryuuki,cub0z,Arriba ANDORRA mahHands xd
#silithur,tyrion88888,@carlosjt91 bueno sant cugat y andorra no estan muy lejos
#mangel,chuski_poyon,chile esta en andorra?
#mangel,polemarkax,@pisito_en_andorra por que ese nombre de traidores?
#mangel,strangew0man,@pisito_en_andorra venga. /me le da unas papitas al pisito en andorra
#baptistao,bigllegui,cuando te vas a andorra?
#baptistao,paulinhomtg,te iras a Andorra?????
#mangel,brayan_alexandre,pisito en andorra maravillloso nombreee
#baptistao,ant0niz_06,tira pa Andorra collo
#baptistao,princemalik123,vete a andorra
#mangel,tas_bobo_o_ke,@pisito_en_andorra que bueno que en chile estan todos bien dianna6L
#papigavitv,luis_david99,si ganas te mudas a andorra
#byzapi,inhaledcord726,tú no te nos irás a Andorra no?
#jelty,mool9493,jelty ya te bas a andorra ¿?
