source,target,msg
#silithur,perezososf,@Silithur xq ha ido andorra ahí, se han establecido y son más
#silithur,pan_pan_owo,se pelean por la isla, estan zeling, nya, rich, farfa y los andorranos que les pelan y matan todo lo que se mueve
#silithur,thevoritex,Rich y Farfa llegaron y sacaron de ahí a Nya y a Elemao y otro más pero también en ese lugar estaba todo Andorra sólo que ahora antes de que apagarán stream les llegaron de nuevo todo Andorra a matar les de nuevo
#silithur,runireigns,grande team Andorra a la mierda el rich
#silithur,gabriel_ndeaa,amigo es re tóxico el chat de los de andorra
#silithur,tiagovk0,@runireigns si rich y farfa hicieron mierda a Andorra jaja
#silithur,ikifuenla1903,en la isla estaba nia cual inglesa usurpando las Malvinas, llego farfa y rich como si fueran videla pegando tiros y echaron a los ingleses, pero apareció la Armada inglesa (di grefg y Andorra) a echar a los pibes
#guanyar,daniel2912_,ricardo rotando por andorra
#guanyar,luisreca25,ruben en andorra
#silithur,chuky2for2,Entonces van a ser aliados de andorra? Vais a exclavizar a todo el server?
#elxokas,pokerclassy,ese minimo era de Andorra, bien hecho Xokas
#elxokas,pokerclassy,me encanta ver morir a andorranos
#elxokas,pokerclassy,la jeringa esta hecha en andorra, vigila Xokas
#guanyar,geeriixfn_,RUBIUS QUALED EN EL SERVER DE ANDORRA
#elxokas,pokerclassy,te estas recuperando porque no eres andorrano, grande Xokas
#guanyar,geeriixfn_,RUBIUS QUALED EN EL SERVER DE ANDORRA
#mangel,gmadis,Yo de BARCELONA <3 Andorra no tiene playa
